,CARD,DECK,BALLOT,S126.Q1,S126.Q2,S126.Q3.x,S126.Q5,S126.Q6,S126.Q7,S126.Q8,S126.Q9,S126.Q10,S126.Q11,S126.Q12,S126.Q13,S126.Q14,S126.Q15,S126.Q16,S126.Q17,S126.Q18,S126.Q19,S126.Q20,S126.Q21,S126.Q22,S126.Q23,S126.Q24,S126.Q25,S126.Q26,S126.Q27,S126.Q28,S126.Q29,S126.Q30,S126.Q31,S126.Q32A,S126.Q32B,S126.Q32C,S126.Q32D,S126.Q32E,S126.Q32F,S126.V32G,S126.Q33,S126.Q34,S126.Q35,S126.Q36,S126.Q37,S126.Q38,S126.Q39,S126.Q40,S126.Q41,S126.Q42,S126.Q43,S126.Q44,S126.Q45,S126.Q46,S126.Q47,S126.Q48,S126.Q49,S126.Q50,S126.Q51,S126.Q52,S126.Q53,S126.Q54,S126.Q55,S126.Q56,S126.Q57,S126.Q58,S126.Q59,S126.Q60,S126.Q61,S126.Q62,S126.Q63,S126.Q64,S126.Q65,S126.Q66,S126.Q67,CARD..1,DECK..1,BALLOT..1,S126.Q68,S126.Q69,S126.Q70,S126.Q71,S126.Q72,S126.Q73,S126.Q74A,S126.Q74B,S126.Q74C,S126.Q74D,S126.Q74E,S126.V74F,S126.V74G,S126.Q75,S126.Q76,S126.Q77,S126.Q78,S126.Q79,S126.Q80A,S126.Q80B,S126.Q81,S126.Q82,S126.Q83,S126.Q84,S126.Q85,S126.Q86,S126.Q87,S126.Q88,S126.Q89,S126.Q90A,S126.Q90B,S126.Q91,S126.Q92,S126.Q93.n,S126.Q94,S126.Q95,S126.Q96.n,S126.Q97,S126.V98,S126.V99,S126.V100
37,1.0,126.0,23.0,4.0,2.0,4.0,3.0,1.0,4.0,1.0,5.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,126.0,23.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,33.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,0.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,126.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,126.0,24.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,32.0,3.0,2.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,126.0,25.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,7.0,8.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,126.0,25.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,22.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,126.0,26.0,3.0,1.0,5.0,3.0,5.0,5.0,1.0,4.0,6.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,9.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,126.0,26.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,11.0,1.0,3.0,6.0,6.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,126.0,27.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,6.0,1.0,3.0,2.0,2.0,5.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,126.0,27.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,23.0,3.0,3.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.0,126.0,28.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,126.0,28.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,11.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,126.0,29.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,8.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,126.0,29.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,31.0,1.0,3.0,3.0,6.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0,0.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,126.0,30.0,5.0,2.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,126.0,30.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,33.0,3.0,3.0,8.0,6.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,126.0,31.0,4.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,126.0,31.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,4.0,5.0,,7.0,2.0,4.0,39.0
54,1.0,126.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,126.0,32.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,33.0,3.0,3.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,8.0,2.0,4.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,126.0,33.0,3.0,1.0,4.0,1.0,0.0,5.0,1.0,4.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,126.0,33.0,4.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.0,126.0,34.0,3.0,1.0,4.0,3.0,5.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,126.0,34.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,22.0,2.0,3.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,4.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.0,126.0,35.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,6.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2.0,126.0,35.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,22.0,1.0,3.0,5.0,6.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.0,126.0,36.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.0,126.0,36.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,33.0,1.0,3.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,5.0,2.0,4.0,0.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.0,126.0,37.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.0,126.0,37.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,33.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,6.0,4.0,7.0,1.0,6.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.0,126.0,38.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2.0,126.0,38.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,13.0,2.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0,2.0,4.0,0.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.0,126.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2.0,126.0,39.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,32.0,1.0,2.0,2.0,6.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.0,126.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.0,126.0,40.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,21.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,0.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.0,126.0,41.0,4.0,4.0,1.0,2.0,5.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.0,126.0,41.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,33.0,2.0,3.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1.0,126.0,42.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.0,126.0,42.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,22.0,1.0,2.0,5.0,6.0,7.0,3.0,3.0,1.0,3.0,0.0,3.0,4.0,6.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1.0,126.0,43.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,4.0,6.0,1.0,3.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,126.0,43.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,,2.0,2.0,,3.0,2.0,4.0,10.0
77,1.0,126.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2.0,126.0,44.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,21.0,1.0,1.0,3.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
