,CARD,DECK,BALLOT,FORM,S195A.Q1,S195A.Q2,S195A.Q3,S195A.Q4A,S195A.Q4B,S195A.Q5A,S195A.Q5B,S195A.Q6A,S195A.Q6B,S195A.Q7A,S195A.Q7B,S195A.Q8A,S195A.Q8B,S195A.Q9A,S195A.Q9B,S195A.Q10A,S195A.Q10B,S195A.Q11A,S195A.Q11B,S195A.Q12,S195A.Q13A,S195A.Q13B,S195A.Q14A,S195A.Q14B,S195A.Q15A,S195A.Q15B,S195A.Q16A,S195A.Q16B,S195A.Q17A,S195A.Q17B,S195A.Q18A,S195A.Q18B,S195A.Q19A,S195A.Q19B,S195A.Q20A,S195A.Q20B,S195A.Q21A,S195A.Q21B,S195A.Q22A,S195A.Q22B,S195A.Q23A,S195A.Q23B,S195A.Q24A,S195A.Q24B,S195A.Q25A,S195A.Q25B,S195A.Q26A,S195A.Q26B,S195A.Q27A,S195A.Q27B,S195A.Q28A,S195A.Q28B,S195A.Q29A,S195A.Q29B,S195A.Q30A,S195A.Q30B,S195A.Q31A,S195A.Q31B,S195A.Q32A,S195A.Q32B,S195A.Q33A,S195A.Q33B,S195A.Q34A,S195A.Q34B,S195A.Q35A,S195A.Q35B,S195A.Q35C,S195A.Q35D,S195A.Q35E,S195A.Q35F,S195A.Q35G,CARD..1,DECK..1,BALLOT..1,FORM..1,S195A.Q35H,S195A.Q35I,S195A.Q35J,S195A.Q35K,S195A.Q35L,S195A.Q35M,S195A.Q36A,S195A.Q36B,S195A.Q37A,S195A.Q37B,S195A.Q38.n,S195A.V39A,S195A.V39B,S195A.V40A,S195A.V40B,S195A.V41A,S195A.V42
202,1.0,195.0,203.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,195.0,203.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,,4.0,0.0,7.0,7.0,4.0,1.0
203,1.0,195.0,204.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,195.0,204.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,,8.0,1.0,6.0,5.0,4.0,1.0
204,1.0,195.0,205.0,1.0,2.0,5.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,195.0,205.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,,8.0,0.0,6.0,6.0,5.0,1.0
205,1.0,195.0,206.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,195.0,206.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,8.0,4.0,2.0,2.0,5.0,2.0
206,1.0,195.0,207.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,195.0,207.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,,2.0,4.0,6.0,3.0,1.0,1.0
207,1.0,195.0,208.0,1.0,2.0,3.0,6.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,195.0,208.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,,4.0,0.0,2.0,2.0,3.0,1.0
208,1.0,195.0,209.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,195.0,209.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,0.0,4.0,4.0,2.0,1.0
209,1.0,195.0,210.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,195.0,210.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,,8.0,0.0,5.0,6.0,4.0,1.0
210,1.0,195.0,211.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,195.0,211.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,1.0,,5.0,6.0,6.0,7.0,3.0,2.0
211,1.0,195.0,212.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,4.0,2.0,2.0,195.0,212.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,1.0,,6.0,2.0,7.0,7.0,4.0,1.0
212,1.0,195.0,213.0,1.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,0.0,2.0,195.0,213.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,,3.0,0.0,1.0,5.0,6.0,1.0
213,1.0,195.0,214.0,1.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,195.0,214.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,3.0,0.0,6.0,7.0,6.0,1.0
214,1.0,195.0,215.0,1.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,195.0,215.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,,2.0,0.0,7.0,5.0,0.0,1.0
215,1.0,195.0,216.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,3.0,1.0,2.0,195.0,216.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,3.0,7.0,1.0,3.0,4.0,2.0
216,1.0,195.0,217.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,195.0,217.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,,8.0,0.0,5.0,1.0,5.0,1.0
217,1.0,195.0,218.0,1.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,195.0,218.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,,5.0,3.0,7.0,5.0,7.0,2.0
218,1.0,195.0,219.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,195.0,219.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,4.0,1.0,2.0,2.0
219,1.0,195.0,220.0,1.0,2.0,3.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,195.0,220.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,,5.0,0.0,4.0,4.0,4.0,2.0
220,1.0,195.0,221.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,195.0,221.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,,4.0,2.0,7.0,5.0,6.0,1.0
221,1.0,195.0,222.0,1.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,195.0,222.0,1.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,,7.0,2.0,6.0,6.0,5.0,1.0
222,1.0,195.0,223.0,1.0,3.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,195.0,223.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,,5.0,0.0,6.0,4.0,6.0,2.0
223,1.0,195.0,224.0,1.0,3.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,195.0,224.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,0.0,0.0,6.0,0.0,8.0,1.0
224,1.0,195.0,225.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,195.0,225.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,,2.0,0.0,7.0,4.0,5.0,1.0
225,1.0,195.0,226.0,1.0,3.0,4.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,195.0,226.0,1.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,,7.0,1.0,4.0,2.0,2.0,2.0
226,1.0,195.0,227.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,195.0,227.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,,1.0,1.0,5.0,4.0,1.0,1.0
227,1.0,195.0,228.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,195.0,228.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,,5.0,1.0,7.0,7.0,5.0,1.0
228,1.0,195.0,229.0,1.0,3.0,2.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,195.0,229.0,1.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,,5.0,1.0,6.0,2.0,6.0,2.0
229,1.0,195.0,230.0,1.0,3.0,3.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,195.0,230.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,5.0,1.0,7.0,7.0,5.0,1.0
230,1.0,195.0,231.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,195.0,231.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,,0.0,0.0,6.0,7.0,1.0,2.0
231,1.0,195.0,232.0,1.0,3.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,195.0,232.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,,9.0,3.0,5.0,3.0,8.0,2.0
232,1.0,195.0,233.0,1.0,3.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,195.0,233.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,,5.0,0.0,7.0,7.0,6.0,2.0
233,1.0,195.0,234.0,1.0,3.0,3.0,7.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,195.0,234.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,,6.0,0.0,5.0,4.0,5.0,1.0
234,1.0,195.0,235.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,195.0,235.0,1.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,8.0,2.0,6.0,6.0,7.0,1.0
235,1.0,195.0,236.0,1.0,1.0,5.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,195.0,236.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,,8.0,0.0,6.0,0.0,2.0,1.0
