CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14A.,Q.14C.,Q.14C..1,Q.14C..2,Q.14C..3,Q.14C..4,Q.14C..5,Q.14C..6,Q.14C..7,Q.14C..8,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.25..1,Q.25..2,Q.25..3,Q.25..4,Q.25..5,Q.25..6,Q.25..7,Q.25..8,Q.25..9,Q.25..10,Q.25..11,Q.26A.,Q.26B.,Q.26C.,Q.27A.,Q.27A..1,Q.27A..2,Q.27A..3,Q.27A..4,Q.27A..5,Q.27A..6,Q.27A..7,Q.27A..8,Q.27A..9,Q.27A..10,Q.27A..11,Q.27A..12,Q.27B.,Q.28.,Q.29.,Q.30A.,CARD..1,DECK..1,BALLOT..1,Q.30B.,Q.31.,Q.31..1,Q.31..2,Q.31..3,Q.31..4,Q.31..5,Q.31..6,Q.31..7,Q.31..8,Q.31..9,Q.31..10,Q.31..11,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.37..1,Q.37..2,Q.37..3,Q.37..4,Q.37..5,Q.37..6,Q.37..7,Q.37..8,Q.37..9,Q.37..10,Q.38.,Q.39A.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49A.,Q.49B.,Q.51.,Q.52.,Q.53.,Q.54A.,Q.54B.,Q.54B..1,Q.54B..2,Q.54B..3,Q.54B..4,Q.54B..5,Q.54B..6,Q.54B..7,Q.54B..8,Q.54B..9,Q.54B..10,Q.54B..11,Q.54B..12,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62A.,CARD..2,DECK..2,BALLOT..2,Q.62B.,Q.62B..1,Q.62B..2,Q.62B..3,Q.62B..4,Q.62B..5,Q.62B..6,Q.62B..7,Q.62B..8,Q.62B..9,Q.62B..10,Q.62B..11,Q.62B..12,Q.63.,Q.64.,Q.65A.,Q.65B.,Q.66.,V.66A.,Q.67.,Q.68A.,Q.69.,Q.70.,Q.71.,Q.72.,Q.0.,Q.73.,Q.73..1,Q.73..2,Q.73..3,Q.73..4,Q.73..5,Q.73..6,Q.73..7,Q.73..8,Q.73..9,Q.73..10,Q.74.,Q.75A.,Q.77.,Q.78.,Q.79.,Q.80.,Q.80..1,Q.80..2,Q.80..3,Q.80..4,Q.80..5,Q.80..6,Q.80..7,Q.80..8,Q.80..9,Q.80..10,Q.80..11,Q.80..12,Q.80..13,Q.80..14,Q.80..15,Q.80..16,Q.80..17,Q.80..18,Q.80..19,Q.80..20,Q.81.,Q.82.,Q.83A.,CARD..3,DECK..3,BALLOT..3,Q.83B.,Q.83B..1,Q.83B..2,Q.83B..3,Q.83B..4,Q.83B..5,Q.83B..6,Q.83B..7,Q.83B..8,Q.83B..9,Q.83B..10,Q.83B..11,Q.83B..12,Q.84.,V.86.,V.87.,V.88.,V.89.,V.90.
1,144,4259,1,4,1,5,7,8,5,2,6,5,1,11,4,2,1,2,2,2,2,2,2,2,3,3,1,3,2,1,3,2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,2,144,4259,0,2,2,2,2,1,2,2,2,2,2,2,2,6,5,0,99,99,2,2,2,2,2,2,2,2,2,2,1,0,0,3,2,1,1,3,9,9,9,9,9,99,9,1,5,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,1,5,4,2,1,3,144,4259,2,2,2,2,1,2,2,2,2,2,2,2,2,4,9,2,9,9,3,2,3,6,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,4259,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,31,19,1
1,144,4260,8,5,5,2,7,3,7,4,6,5,1,11,3,2,1,2,2,2,2,2,2,2,1,2,1,3,2,2,2,1,1,6,2,2,2,2,2,2,2,2,2,2,1,2,6,0,1,2,2,2,2,2,1,2,2,2,2,2,2,5,7,2,1,1,2,144,4260,0,2,2,2,2,2,2,2,2,2,2,1,2,4,3,1,7,5,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,1,1,2,4,2,10,3,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4260,2,2,2,2,2,2,2,2,2,2,2,2,1,7,3,1,3,12,4,2,4,6,1,2,6,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,4260,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,4,29,26,1
1,144,4261,8,10,5,2,7,8,7,4,6,5,1,3,3,2,2,2,2,1,2,2,2,2,1,2,1,3,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,5,3,2,2,2,2,2,1,2,2,2,2,2,2,2,5,3,2,1,9,2,144,4261,3,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,5,2,1,2,1,2,2,2,2,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,14,3,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4261,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,1,1,1,6,1,2,5,0,2,1,2,1,2,2,2,2,2,2,2,1,3,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,144,4261,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,4,30,38,1
1,144,4262,4,9,1,5,7,8,6,1,3,4,1,11,3,2,2,2,1,2,2,2,2,2,1,1,3,5,2,2,1,3,4,4,2,2,2,2,2,2,2,2,2,2,1,2,5,4,5,2,2,2,2,2,2,2,2,2,1,2,2,1,4,2,2,5,2,144,4262,1,1,2,2,2,2,2,2,2,2,2,2,2,5,4,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,4,2,2,3,3,2,2,2,2,3,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4262,2,2,2,2,2,2,2,2,2,2,2,2,1,6,3,1,3,3,1,1,1,6,1,2,9,0,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,144,4262,2,2,2,2,2,1,1,2,2,2,2,2,2,1,4,2,31,10,1
1,144,4263,1,4,1,5,7,2,5,1,5,1,1,11,3,2,2,2,2,1,2,2,2,2,1,1,1,5,2,2,1,1,2,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,2,2,2,1,2,2,2,2,2,2,2,2,3,9,1,1,9,2,144,4263,3,2,2,2,1,2,2,2,2,2,2,2,2,6,5,1,6,1,2,2,1,2,2,2,2,2,2,2,2,5,6,1,2,4,4,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4263,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,1,2,2,5,1,1,2,0,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,144,4263,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,3,33,39,1
1,144,4264,6,5,4,3,7,2,5,1,5,5,1,8,3,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,7,3,5,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,2,3,2,144,4264,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,4,1,2,1,4,3,3,9,9,9,9,9,99,9,1,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,5,3,6,2,3,144,4264,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,4,1,2,2,0,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4264,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,4,26,53,1
1,144,4265,8,9,1,5,7,3,7,1,4,5,1,11,3,2,2,2,2,2,2,1,2,2,1,2,1,3,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,3,0,2,144,4265,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,2,99,6,2,2,2,2,2,1,2,2,2,2,2,4,1,2,3,2,3,1,2,1,2,1,2,6,1,2,5,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,4265,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,3,6,1,1,6,0,2,2,2,2,2,1,2,2,2,2,2,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,0,2,4,144,4265,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,26,44,1
1,144,4266,2,4,1,2,7,8,5,1,5,5,1,11,4,2,2,2,1,2,2,2,2,2,1,2,1,3,2,3,1,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,6,3,3,2,2,2,2,2,2,1,2,2,2,2,2,4,8,3,1,9,2,144,4266,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,2,2,2,2,2,1,2,2,2,2,2,2,1,0,3,4,2,0,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4266,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,5,1,1,5,0,2,2,2,2,2,1,2,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,4266,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,4,33,51,1
1,144,4267,8,6,1,5,7,8,6,2,6,5,12,4,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,7,1,1,2,2,2,2,2,1,2,2,2,2,2,2,3,1,3,3,6,2,144,4267,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,99,99,2,2,2,2,2,2,2,2,2,2,1,4,1,2,2,2,1,2,2,1,2,1,2,5,3,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4267,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,1,1,1,6,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,2,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,4,144,4267,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,36,1
1,144,4268,4,6,4,2,7,8,4,1,5,5,12,9,3,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,1,2,2,5,2,4,2,2,2,2,1,2,2,2,2,2,2,2,4,8,2,1,9,2,144,4268,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,3,3,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4268,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,3,1,3,6,0,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,4,144,4268,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,3,2,18,1
1,144,4269,1,8,4,2,7,8,5,1,6,1,12,4,3,2,2,2,2,1,2,2,2,2,2,3,1,3,2,1,1,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,3,4,4,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,3,9,2,144,4269,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,99,99,2,2,2,2,2,2,2,2,2,2,1,4,4,2,1,3,3,2,3,3,2,2,1,2,1,1,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,9,9,9,9,9,9,9,3,144,4269,2,2,2,2,2,2,2,2,2,2,2,2,1,6,3,1,3,6,3,2,1,6,4,9,9,0,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,1,4,144,4269,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,5,1,38,1
1,144,4270,6,4,1,5,9,3,5,5,6,5,15,9,3,2,1,2,2,2,2,2,2,2,1,2,1,3,1,3,3,1,2,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,144,4270,0,2,2,2,2,1,2,2,2,2,2,2,2,6,5,0,99,99,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,1,2,3,3,3,2,3,12,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4270,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,6,1,1,9,0,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,4270,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,4,35,12,1
1,144,4271,1,2,1,5,9,2,5,1,6,1,15,9,3,1,2,2,2,2,2,2,2,2,2,2,1,4,3,1,1,3,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,2,2,2,2,2,1,2,2,2,2,2,2,3,3,1,1,9,2,144,4271,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,7,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,6,3,5,5,1,6,9,3,144,4271,2,2,2,1,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,3,2,6,1,9,5,0,2,2,2,1,2,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4271,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,5,35,59,2
1,144,4272,1,3,1,5,9,8,5,1,4,4,15,9,3,2,2,1,2,2,2,2,2,2,1,1,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,10,2,5,2,2,2,2,2,1,2,2,2,2,2,2,4,9,3,3,0,2,144,4272,0,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,2,3,3,4,9,9,9,9,99,9,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,4,9,9,9,9,9,9,9,3,144,4272,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,4,2,3,9,0,2,2,2,2,2,1,2,2,2,2,2,2,4,5,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,4,144,4272,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,2,35,45,2
1,144,4273,1,10,2,2,9,8,2,1,6,5,15,11,3,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,7,3,3,2,2,2,2,1,1,2,2,2,2,2,2,8,8,2,1,9,2,144,4273,3,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,3,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9,9,9,9,9,9,9,3,144,4273,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,1,1,1,6,1,1,4,0,2,2,2,2,2,2,2,2,1,2,2,1,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,0,0,4,144,4273,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,35,26,2
1,144,4274,3,4,1,5,9,8,5,5,6,5,15,11,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,0,2,144,4274,0,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,1,1,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9,9,5,5,9,6,9,3,144,4274,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,1,1,1,6,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,4,144,4274,2,2,2,2,1,2,2,2,2,2,2,2,2,4,5,4,35,5,2
1,144,4275,6,5,1,5,9,5,5,1,6,5,15,9,3,2,1,2,2,2,2,2,2,2,1,1,3,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,7,3,4,2,2,2,2,1,2,2,2,2,2,2,2,4,8,2,1,6,2,144,4275,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,3,2,2,2,99,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4275,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,6,1,1,5,0,2,1,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,144,4275,2,1,2,2,1,2,2,2,2,2,2,2,2,3,4,2,35,24,2
1,144,4276,3,3,1,5,9,8,5,1,6,5,15,1,3,2,2,2,1,2,2,2,2,2,2,2,1,4,3,1,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,8,2,144,4276,1,2,2,2,2,1,2,2,2,2,2,2,2,6,5,3,99,99,2,2,2,2,2,2,2,2,2,2,1,5,6,2,2,1,1,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4276,2,2,2,2,2,2,2,2,2,2,2,2,1,7,4,1,4,4,1,1,2,6,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4276,2,2,2,2,2,2,1,2,2,2,2,2,2,1,5,5,35,58,2
1,144,4277,1,9,4,3,9,8,5,1,6,5,15,9,3,2,2,1,2,2,2,2,2,2,1,2,1,3,1,2,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,7,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,2,1,2,144,4277,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,2,1,3,9,9,9,9,9,99,9,2,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,9,9,9,9,9,9,9,3,144,4277,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,7,7,1,1,1,6,1,1,4,0,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,144,4277,2,2,2,2,1,2,1,2,2,2,2,2,2,1,5,3,35,42,1
1,144,4278,6,3,5,1,9,8,5,1,4,5,15,1,3,2,1,2,2,2,2,2,2,2,1,1,0,0,1,2,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,2,144,4278,0,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,99,99,2,2,2,2,2,2,2,2,2,2,1,0,0,1,2,1,1,2,3,3,2,9,2,10,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9,9,9,9,9,9,9,3,144,4278,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,1,4,8,3,2,3,5,1,2,4,0,1,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,4278,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,35,31,2
1,144,4279,3,5,4,1,9,8,5,1,6,5,15,3,3,2,2,2,2,1,2,2,2,2,2,2,1,4,3,1,4,1,2,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,0,2,144,4279,0,2,2,2,2,1,2,2,2,2,2,2,2,6,5,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,2,1,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4279,2,2,2,2,2,2,2,2,2,2,2,2,1,6,6,1,6,1,3,1,3,6,1,1,5,0,2,2,2,1,2,2,2,2,2,2,2,1,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4279,2,2,2,2,2,2,1,2,2,2,2,2,2,1,5,5,35,54,2
1,144,4280,6,9,4,2,9,8,5,1,5,2,15,11,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,1,1,2,2,2,2,2,2,5,2,2,3,0,2,144,4280,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,4,3,9,9,9,9,9,99,9,1,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,6,3,5,4,4,6,1,3,144,4280,2,1,2,2,2,2,2,2,2,2,2,2,2,3,5,2,6,3,3,2,3,2,1,3,4,0,2,2,2,2,2,1,2,2,2,2,2,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,4,144,4280,2,2,2,2,2,1,1,2,2,2,2,2,2,4,5,5,35,15,2
1,144,4281,3,6,4,4,9,7,5,5,6,5,15,1,3,2,2,1,2,2,2,2,2,2,1,2,1,5,3,2,3,1,4,1,2,2,2,2,1,2,2,2,2,2,2,2,5,2,3,2,2,2,1,2,2,2,2,2,2,2,2,7,2,3,3,8,2,144,4281,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,7,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,3,3,4,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4281,2,2,2,2,2,2,2,2,2,2,2,2,1,7,4,1,4,4,1,1,1,6,2,9,9,0,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,144,4281,2,2,2,1,1,2,2,2,2,2,2,2,2,2,5,3,35,35,2
1,144,4282,2,1,1,5,9,8,2,1,5,5,15,11,3,1,2,2,2,2,2,2,2,2,3,3,1,4,3,1,1,2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,144,4282,0,2,2,2,2,1,2,2,2,2,2,2,2,6,5,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,3,9,3,3,2,2,99,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4282,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,1,2,2,1,1,2,6,1,2,6,0,2,2,2,2,2,1,2,2,2,2,2,1,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,4,144,4282,2,2,2,2,2,2,2,2,2,2,2,2,1,4,5,5,35,20,2
1,144,4283,1,4,5,1,9,8,5,2,6,5,6,8,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,10,2,4,2,2,2,2,1,2,2,2,2,2,2,2,3,8,2,3,6,2,144,4283,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,4,2,3,9,9,9,9,9,99,9,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4283,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,2,3,9,1,1,1,6,1,3,6,0,2,2,2,2,2,1,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4283,2,2,2,2,2,1,1,2,2,2,2,2,2,1,5,4,36,67,1
1,144,4284,8,8,1,5,9,8,6,1,4,5,6,11,3,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,3,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,7,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,0,3,3,0,2,144,4284,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,2,2,2,4,2,2,2,2,3,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,5,4,9,9,9,3,144,4284,2,2,2,2,2,2,2,2,2,2,2,2,1,7,4,1,4,9,3,2,3,5,1,2,4,0,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,4,144,4284,2,2,2,2,2,2,2,2,2,2,2,1,2,3,5,1,36,92,1
1,144,4285,3,10,4,1,9,8,5,1,5,2,6,11,3,2,2,2,1,2,2,2,2,2,2,2,1,4,2,2,3,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2,6,5,3,2,2,2,2,2,1,2,2,1,2,2,2,8,8,2,1,9,2,144,4285,3,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,99,99,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,3,3,2,3,3,3,3,3,10,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,4,9,9,9,9,9,9,9,3,144,4285,2,2,2,2,2,2,2,2,2,2,2,2,1,5,1,1,1,0,4,3,4,5,1,2,5,0,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,144,4285,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,4,36,37,1
