COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141,COL142,COL143,COL144,COL145,COL146,COL147,COL148,COL149,COL150,COL151,COL152,COL153,COL154,COL155,COL156,COL157,COL158,COL159,COL160,COL161,COL162,COL163,COL164,COL165,COL166,COL167,COL168,COL169,COL170,COL171,COL172,COL173,COL174,COL175,COL176,COL177,COL178,COL179,COL180,COL181,COL182,COL183,COL184,COL185,COL186,COL187,COL188,COL189,COL190,COL191,COL192,COL193,COL194
1,77,1027,1,1,9,6,9,1,3,1,2,3,6,5,5,5,2,9,3,1,1,1,2,2,1,3,3,2,1,1,2,2,2,2,2,1,1,2,6,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,1,1,1,1,,207,7102,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,2,1,1,2,1,1,2,1,1,3,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,30,9,10,9,1,1,0,0,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1028,1,1,3,5,4,2,1,1,1,2,1,1,3,1,1,10,5,2,1,2,2,2,1,3,2,3,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,5,3,1,2,2,2,2,,207,7102,8,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,3,3,1,2,1,2,2,2,2,2,2,2,2,1,7,2,2,1,2,1,1,3,2,2,3,3,3,3,3,3,3,4,6,3,2,4,3,2,1,60,2,10,2,1,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1029,1,3,5,6,9,1,1,1,3,6,4,4,5,5,3,9,5,3,2,3,1,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,2,2,1,1,,207,7102,9,1,2,1,1,1,1,1,1,1,2,2,1,1,2,3,3,2,1,1,2,1,2,1,2,2,2,1,2,1,1,7,2,1,4,3,2,1,2,4,2,3,3,3,3,3,3,2,4,6,2,2,4,2,2,1,20,2,11,0,3,1,1,0,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1030,1,2,8,1,5,6,3,4,2,6,4,6,5,5,4,1,3,3,3,2,1,3,1,4,4,1,2,3,3,3,3,3,3,3,3,3,3,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,1,1,,207,7103,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,7,2,1,4,2,1,1,2,3,1,1,2,2,1,2,2,2,1,6,2,1,4,2,3,1,30,2,10,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1031,1,2,9,5,7,2,1,1,2,6,4,3,5,5,4,11,4,2,3,1,3,3,1,3,3,2,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,0,3,0,0,0,0,,207,7103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,1,1,1,2,2,2,1,2,1,2,1,2,7,1,7,4,3,1,1,2,3,2,3,3,3,3,3,3,3,4,6,3,0,0,0,4,1,60,2,11,0,3,1,0,0,1,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1032,1,2,8,5,3,1,3,1,2,6,9,5,5,5,1,11,5,1,1,2,3,3,3,3,3,2,1,2,2,2,2,2,2,2,1,2,1,3,5,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,1,1,2,2,,207,7103,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,3,3,1,2,2,1,2,2,2,2,1,2,2,1,7,2,2,4,2,1,1,3,2,2,3,3,3,3,3,3,2,4,6,2,4,4,3,2,1,30,2,10,2,1,1,0,3,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1033,1,1,9,1,5,5,1,1,1,5,8,4,5,2,4,1,5,3,3,3,1,1,4,4,4,4,1,2,2,2,2,2,2,1,2,2,1,6,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,2,2,,207,7103,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,3,3,3,3,3,3,3,3,3,2,1,2,1,2,2,8,1,4,4,4,2,3,3,3,3,3,3,3,4,6,1,2,4,5,2,3,60,2,10,2,1,1,0,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1034,1,3,11,1,5,2,5,1,2,7,3,3,3,1,1,10,5,1,1,1,2,2,4,2,3,1,1,1,2,2,2,2,2,1,2,2,4,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,1,,207,7103,4,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,1,1,1,2,1,2,2,1,2,2,1,2,1,1,7,0,7,4,1,1,1,3,1,2,3,3,3,3,3,3,3,4,6,0,6,4,2,2,1,30,2,10,2,1,0,0,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1035,1,2,3,6,1,4,4,5,2,5,14,4,4,4,1,11,5,1,1,1,3,2,3,2,4,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,5,1,1,1,1,2,1,1,1,,207,7103,5,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,4,3,3,1,2,1,1,1,1,1,2,1,2,1,1,7,2,2,4,1,1,1,3,3,1,1,2,2,1,1,2,2,1,6,2,2,4,3,1,1,20,2,10,2,1,1,1,3,1,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1036,1,3,8,4,4,7,1,1,1,5,5,1,1,1,1,10,5,2,2,2,2,2,3,4,3,2,1,1,2,2,2,1,2,1,1,2,7,3,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,7,2,5,2,1,1,1,1,1,,207,7103,6,1,1,1,1,2,1,1,1,2,2,2,2,2,2,4,4,3,4,1,1,2,2,2,2,2,2,2,2,2,3,3,1,3,2,3,1,1,4,1,1,1,2,2,2,1,2,2,1,6,3,4,4,4,2,1,50,9,10,9,1,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1037,1,3,9,5,9,3,5,2,2,6,4,5,1,1,3,1,4,2,2,3,1,3,1,3,3,2,1,1,1,2,2,2,2,1,1,2,1,2,5,3,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,2,3,1,2,2,1,2,,207,7103,7,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,3,3,2,1,2,1,2,2,2,2,2,1,2,2,2,7,2,2,4,1,1,1,2,4,1,1,2,1,1,1,2,2,1,6,2,2,4,3,2,1,60,2,10,2,1,2,2,3,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1038,1,1,10,4,7,4,2,4,1,2,9,4,1,3,1,11,5,2,3,2,3,3,3,2,4,4,0,0,0,0,0,0,0,0,0,0,4,6,5,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,7,1,5,2,1,2,2,1,2,,207,7103,8,1,2,1,2,2,1,1,2,2,2,2,2,2,2,4,2,3,3,1,2,1,2,2,2,1,2,1,2,1,1,7,3,2,4,2,1,1,3,3,2,3,3,3,3,3,3,1,4,6,3,2,4,4,3,1,60,9,10,2,1,1,0,3,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1039,1,1,8,1,6,2,2,1,0,5,4,3,4,2,3,11,5,1,1,2,3,3,3,2,2,4,1,2,2,2,2,2,2,1,2,2,3,6,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,6,5,2,1,2,2,1,2,,207,7103,9,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,1,2,2,3,3,0,2,3,2,3,1,4,4,1,2,2,2,2,1,2,3,3,3,2,3,4,2,2,3,10,9,11,0,2,1,1,3,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1040,1,1,5,4,6,1,3,1,2,5,4,6,1,5,3,11,5,2,2,2,3,1,3,3,4,1,1,1,1,2,2,2,2,1,1,2,7,3,1,3,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,6,2,1,2,1,1,1,1,1,,207,7104,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,0,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,8,1,1,2,4,1,1,1,1,2,2,2,0,1,1,1,6,0,2,4,1,20,2,10,2,1,0,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1041,1,1,9,6,4,6,1,1,1,5,4,5,4,5,3,11,4,1,1,1,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,1,1,2,2,2,1,,207,7104,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,1,2,1,1,7,2,2,4,1,1,1,3,3,1,1,2,2,1,2,2,2,3,2,1,3,1,3,4,1,20,2,10,2,1,1,1,3,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1042,1,3,9,3,2,3,2,1,1,5,13,2,4,1,1,11,5,1,2,2,3,3,1,3,2,1,1,2,2,2,2,1,2,1,1,2,7,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,7,0,0,0,3,0,0,0,0,,207,7104,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,3,2,3,1,60,2,10,2,1,1,2,0,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1043,1,2,9,2,7,1,1,1,1,6,4,1,2,5,4,11,4,2,2,3,3,3,3,2,4,1,2,3,3,3,3,3,3,3,3,3,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,1,2,1,1,,207,7104,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,4,1,2,2,2,2,2,1,1,2,2,2,1,7,1,2,4,1,1,1,5,2,2,3,3,3,3,3,3,3,3,6,1,2,4,2,4,1,60,2,10,2,1,2,2,3,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1044,1,3,7,5,4,4,1,1,1,6,3,5,5,3,3,11,5,3,3,3,1,3,1,3,2,2,1,1,2,2,2,2,2,2,1,2,4,6,2,3,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,5,6,2,3,1,2,2,1,1,,207,7104,4,1,2,1,1,1,2,1,2,2,2,1,1,1,2,3,4,3,3,1,2,1,2,2,2,2,2,1,2,2,2,7,2,3,4,3,2,3,3,4,1,1,2,2,2,2,2,2,3,6,2,2,4,4,3,1,40,2,10,2,2,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1045,1,1,11,5,2,2,4,1,1,5,8,5,4,0,1,11,5,2,2,2,2,3,3,3,4,0,1,1,2,2,2,1,2,1,1,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,2,2,2,2,,207,7104,5,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2,1,2,2,2,2,2,2,1,1,2,2,2,3,2,1,1,1,2,1,2,3,2,3,3,3,3,3,3,2,4,6,2,1,4,2,2,2,71,0,21,0,3,1,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1046,1,3,6,5,5,8,2,1,1,5,6,3,4,5,1,11,4,2,3,3,3,3,1,3,4,2,2,3,3,3,3,3,3,3,3,3,1,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,0,1,1,2,1,2,,207,7104,6,1,2,2,1,2,1,1,2,2,2,2,2,2,2,3,3,1,1,1,2,1,1,1,2,2,1,1,2,1,2,7,2,1,4,1,2,1,1,3,1,1,2,1,1,1,2,2,1,6,2,1,4,1,2,1,10,2,10,2,1,1,0,2,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1047,1,3,5,5,7,4,4,1,2,6,9,4,4,4,4,10,5,1,1,1,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,1,5,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,1,,207,7104,7,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,7,2,1,4,1,2,1,3,4,1,2,2,1,2,2,1,2,3,6,3,2,4,3,2,1,41,0,31,0,2,2,2,3,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1048,1,3,8,4,8,1,3,1,2,6,5,3,5,2,4,10,5,1,1,2,2,2,3,2,2,1,1,1,1,2,2,2,2,1,1,2,4,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,,207,7104,8,1,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,3,1,2,2,2,2,1,2,2,1,2,1,1,7,2,1,2,1,1,1,2,3,1,1,2,1,2,1,2,2,1,6,2,2,4,3,2,1,40,2,10,2,1,1,1,3,1,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1049,1,2,11,4,8,5,2,1,1,5,13,2,4,3,3,11,5,3,2,2,1,3,4,4,4,1,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,4,3,1,1,2,2,1,2,,207,7104,9,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,4,2,2,1,2,1,2,2,2,1,2,2,2,2,1,7,2,3,4,3,1,3,2,1,1,1,2,1,1,1,2,1,1,6,3,6,4,3,4,1,60,2,10,2,1,2,2,3,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1050,1,2,9,2,7,4,1,1,2,6,4,4,5,4,1,1,4,2,2,2,1,3,1,2,4,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,2,,207,7105,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,1,1,1,2,1,2,1,2,1,2,1,1,3,1,3,1,2,1,1,5,1,1,2,2,1,1,2,2,1,1,6,0,4,4,5,2,1,20,2,10,2,1,1,0,3,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1051,1,2,6,5,6,1,1,5,2,6,4,6,5,5,4,1,4,3,2,3,1,3,1,2,4,2,2,3,3,3,3,3,3,3,3,3,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,1,2,2,2,2,,207,7105,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,4,4,2,1,1,2,2,2,2,2,1,1,2,1,2,7,0,3,4,0,0,3,1,4,2,3,3,3,3,3,3,2,4,6,0,0,4,1,2,1,10,9,0,2,1,0,0,0,1,2,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1052,1,2,5,4,9,3,5,1,2,6,14,5,5,4,4,11,2,2,3,3,1,3,3,4,4,1,1,2,1,2,1,2,2,1,1,2,7,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,5,1,5,2,1,2,1,1,2,,207,7105,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4,4,4,2,3,3,3,3,3,3,3,3,3,2,1,7,3,2,4,2,1,1,3,4,1,2,2,1,1,1,2,3,3,6,3,3,4,3,2,1,10,2,10,2,1,1,1,1,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1053,1,3,8,7,3,1,5,2,3,6,0,4,5,2,4,10,5,1,1,3,2,2,3,2,2,1,1,1,1,2,2,2,2,1,1,2,7,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,7,1,1,2,1,2,2,1,1,,207,7105,3,1,2,1,1,2,2,1,1,1,2,2,2,1,2,3,2,3,3,1,2,2,2,2,2,2,2,1,2,2,1,7,2,2,4,4,2,1,3,2,1,2,2,1,1,1,2,1,1,6,2,2,4,3,1,1,30,2,10,2,1,1,1,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1054,1,1,6,5,2,1,5,1,1,5,8,3,4,2,5,10,5,2,3,3,1,3,3,3,3,1,1,1,1,1,2,1,2,2,2,2,7,2,5,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,7,1,1,1,1,2,2,1,1,,207,7105,4,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,4,3,3,2,4,1,1,4,3,1,1,2,2,1,1,2,2,1,6,1,2,1,4,1,2,60,9,10,2,1,1,1,3,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1055,1,2,4,5,4,7,1,5,2,6,0,4,4,3,3,6,5,3,3,2,3,3,2,2,3,1,1,1,2,2,2,2,2,1,1,2,7,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,4,1,2,3,3,3,3,,207,7105,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,1,2,1,1,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,1,4,6,0,6,4,5,2,1,61,0,30,2,1,2,2,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1056,1,2,6,4,9,3,4,1,2,6,4,6,5,5,3,8,5,2,1,2,1,2,3,3,2,2,1,1,1,2,2,2,2,1,1,2,3,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,7,2,2,2,1,1,2,1,1,,207,7105,6,1,2,1,2,2,2,2,2,2,1,2,2,1,2,3,3,2,4,1,1,1,2,2,2,1,2,1,2,2,2,3,2,2,1,1,2,2,5,4,1,1,2,1,1,1,2,2,2,6,2,2,1,5,2,2,61,0,20,5,1,2,2,3,1,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1057,1,1,10,4,3,4,1,1,1,6,4,3,5,1,3,11,5,2,2,2,1,2,2,3,3,2,3,4,4,4,4,4,4,4,4,4,5,5,4,3,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,6,3,2,3,1,2,2,1,1,,207,7105,7,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,4,2,2,2,2,4,2,3,3,3,3,3,3,2,4,6,2,1,4,2,3,2,61,0,31,0,3,2,2,3,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1058,1,1,10,8,5,5,4,4,2,4,4,6,5,1,1,10,5,1,1,1,2,2,4,2,2,2,1,1,1,2,2,2,2,2,1,2,3,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,7,2,2,1,2,3,3,3,3,,207,7105,8,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,5,1,2,2,1,2,1,2,2,1,2,1,1,7,1,7,4,3,1,2,3,2,1,1,2,2,2,2,2,2,1,6,2,4,4,3,3,1,20,9,10,9,1,1,1,3,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1059,1,3,10,6,8,6,2,1,1,5,4,4,4,2,3,10,5,2,1,1,2,2,4,2,4,1,1,2,1,2,2,2,2,1,2,2,7,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,7,2,1,2,1,2,2,2,2,,207,7105,9,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,4,2,4,1,2,1,2,1,2,1,2,1,2,1,1,4,1,3,1,2,1,1,3,3,1,1,2,2,1,2,2,1,1,6,1,2,1,3,2,1,20,2,10,2,1,1,1,3,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1060,1,2,0,6,2,3,3,5,2,5,11,5,4,4,2,10,5,2,2,3,1,3,1,3,2,3,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,1,1,,207,7106,0,1,2,1,1,1,2,1,2,1,2,2,1,2,2,3,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,7,2,1,4,1,2,1,2,3,1,1,2,2,1,1,2,2,1,6,2,3,4,2,2,1,20,2,10,2,1,1,1,3,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1061,1,3,9,6,2,3,5,1,2,6,8,3,4,0,4,1,5,1,1,1,1,2,2,0,4,1,1,1,2,2,2,2,2,2,1,2,1,3,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,1,1,1,1,2,2,2,2,,207,7106,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,2,2,2,2,2,2,2,1,2,2,2,7,0,0,2,5,2,2,0,4,2,3,3,3,3,3,3,3,4,6,0,6,4,5,2,2,71,0,21,0,1,1,1,0,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1062,1,2,9,6,3,4,5,1,1,6,4,4,5,5,4,8,4,2,2,2,3,3,1,3,3,1,1,1,1,1,2,1,2,2,1,2,5,1,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,1,,207,7106,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,3,3,1,1,1,2,1,2,2,2,2,2,1,2,2,1,3,2,2,2,3,2,2,1,4,1,2,2,2,1,2,2,2,2,6,2,2,4,3,3,1,31,0,30,2,2,1,1,1,1,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1063,1,1,9,6,4,7,1,4,2,4,4,5,5,4,1,11,5,2,3,3,1,3,2,3,3,2,1,1,2,2,2,2,2,1,1,2,5,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,1,,207,7106,3,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,3,3,3,1,1,2,2,1,2,1,2,1,2,1,1,7,2,1,4,2,1,1,3,3,1,1,2,1,1,1,2,2,3,6,2,2,4,3,2,1,20,2,10,2,1,1,1,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1064,1,3,3,5,9,1,5,1,3,6,5,3,5,3,3,10,5,3,1,1,1,2,2,3,4,2,1,1,1,2,1,2,2,2,1,2,6,3,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,6,1,1,2,1,2,2,2,2,,207,7106,4,1,2,2,2,2,2,1,2,1,2,2,2,2,2,3,2,3,4,1,2,1,2,2,2,2,2,1,2,1,1,7,2,3,4,4,1,4,4,3,1,2,2,1,2,2,2,2,4,6,2,6,4,5,2,2,71,0,31,0,3,1,0,2,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1065,1,1,4,5,3,4,4,1,3,6,4,3,5,2,3,11,5,2,2,2,1,2,2,3,3,2,1,2,2,2,2,2,2,2,1,2,5,3,2,3,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,6,3,2,3,1,1,2,1,1,,207,7106,5,1,2,1,2,2,2,2,1,2,2,2,1,2,2,3,3,2,2,1,1,2,2,2,1,2,2,1,2,1,2,7,2,2,4,2,2,2,2,4,2,3,3,3,3,3,3,2,4,6,2,2,4,2,3,2,71,0,31,0,2,2,2,3,1,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
